facility_id,operator_name,operator_type,lat,lon,city,country,jurisdiction_disclosure_level,wikipedia_page_title,website_url,sustainability_page_url,notes
noVA_aws_001,amazon_web_services,hyperscale,38.9517,-77.4481,Ashburn,United States,low,"Ashburn, Virginia",https://aws.amazon.com,https://aws.amazon.com/sustainability/,Loudoun County / Data Center Alley seed entry
ams_equinix_001,equinix,colocation,52.3676,4.9041,Amsterdam,Netherlands,high,Amsterdam,https://www.equinix.com,https://www.equinix.com/company/sustainability,Post-moratorium context; AMS-IX ecosystem
dub_digitalrealty_001,digital_realty,colocation,53.3498,-6.2603,Dublin,Ireland,medium,Dublin,https://www.digitalrealty.com,https://www.digitalrealty.com/sustainability,EU comparison point
noVA_equinix_001,equinix,colocation,38.8977,-77.4444,Ashburn,United States,low,"Ashburn, Virginia",https://www.equinix.com,https://www.equinix.com/company/sustainability,Equinix DC11; Northern Virginia cluster
noVA_ironmountain_001,iron_mountain,colocation,38.7509,-77.4753,Manassas,United States,low,"Ashburn, Virginia",https://www.ironmountain.com,https://www.ironmountain.com/company/corporate-responsibility/environmental,Iron Mountain NOVA1; Prince William County
sgp_equinix_001,equinix,colocation,1.3521,103.8198,Singapore,Singapore,medium,Singapore,https://www.equinix.com,https://www.equinix.com/company/sustainability,Equinix SG3; Singapore market
sgp_digitalrealty_001,digital_realty,colocation,1.3200,103.7000,Singapore,Singapore,low,Singapore,https://www.digitalrealty.com,https://www.digitalrealty.com/sustainability,Digital Realty SIN10; Singapore market
fra_equinix_001,equinix,colocation,50.1109,8.6821,Frankfurt,Germany,medium,Frankfurt,https://www.equinix.com,https://www.equinix.com/company/sustainability,Equinix FR5; Rhine-Main data center hub
fra_digitalrealty_001,digital_realty,colocation,50.0780,8.6880,Frankfurt,Germany,low,Frankfurt,https://www.digitalrealty.com,https://www.digitalrealty.com/sustainability,Digital Realty FRA1; Rhine-Main data center hub
lon_equinix_001,equinix,colocation,51.5074,-0.5950,Slough,United Kingdom,medium,London,https://www.equinix.com,https://www.equinix.com/company/sustainability,Equinix LD8; Slough/London Docklands corridor
sto_digitalrealty_001,digital_realty,colocation,59.3293,18.0686,Stockholm,Sweden,low,Stockholm,https://www.digitalrealty.com,https://www.digitalrealty.com/sustainability,Digital Realty STO1; Nordic low-carbon grid
syd_equinix_001,equinix,colocation,-33.8688,151.2093,Sydney,Australia,low,Sydney,https://www.equinix.com,https://www.equinix.com/company/sustainability,Equinix SY3; ANZ market anchor
noVA_microsoft_001,microsoft,hyperscale,36.6682,-78.3875,Boydton,United States,low,"Mecklenburg County, Virginia",https://www.microsoft.com,https://www.microsoft.com/en-us/sustainability,Microsoft data center; Southside Virginia hyperscale campus
noVA_meta_001,meta,hyperscale,35.3318,-81.8651,Forest City,United States,low,"Forest City, North Carolina",https://engineering.fb.com,https://sustainability.fb.com,Meta data center; Rutherford County NC campus
ore_google_001,google,hyperscale,45.5946,-121.1787,The Dalles,United States,medium,"The Dalles, Oregon",https://www.google.com/about/datacenters/,https://sustainability.google,Google The Dalles; Columbia River Gorge campus; contestation around water use
