date,title,url,source,tone,tone_label
2017-01-10,Loudoun County approves record data center rezoning,,Loudoun Now,0.0,neutral
2018-03-12,Residents object to data center expansion near Route 50,,Loudoun Now,-3.5,negative
2018-11-05,Loudoun County planning commission data center hearing,,Loudoun County,0.0,neutral
2019-05-20,Washington Post: Data Center Alley transforms Loudoun,,Washington Post,0.0,neutral
2019-09-15,Community group forms to oppose data center sprawl,,Loudoun Now,-3.5,negative
2020-02-10,State legislators raise data center water consumption concerns,,Virginia Mercury,-3.5,negative
2020-06-08,Loudoun County Board votes to expand data center zoning,,Loudoun Now,0.0,neutral
2021-01-25,Virginia passes data center tax incentive legislation,,Richmond Times-Dispatch,2.5,positive
2021-07-14,Dominion Energy warns of grid constraints from data centers,,Dominion Energy,-3.5,negative
2021-10-05,Community campaign: Western Loudoun anti-data center petition,,Loudoun Now,-3.5,negative
2022-03-08,Loudoun Board of Supervisors data center overlay district review,,Loudoun Now,0.0,neutral
2022-09-01,Washington Post: hyperscale campus water use under scrutiny,,Washington Post,-3.5,negative
2023-02-12,State environmental review: data center Potomac River impact,,Virginia DEQ,-3.5,negative
2023-06-20,Loudoun County data center comprehensive plan update,,Loudoun County,0.0,neutral
2024-01-15,Virginia utility commission investigates data center load growth,,SCC Virginia,-3.5,negative
2024-08-10,Loudoun residents sue over data center noise ordinance,,Loudoun Now,-3.5,negative
2025-03-05,Federal energy regulators flag NoVA grid stress,,FERC,-3.5,negative
